Date,magnitude,depth ,age,epicenter,latitude,longitude,,,
5/3/2020 19:36,4.9,10,1.08,Turkana,2.89,36.04,,,
3/24/2019 16:21,4.8,10,2,Taita Taveta,-3.13,38.19,,,
7/23/2017 1:23,2.9,11,4,Marsabit,3.298,37.6039,,,
7/22/2017 18:14,2.4,35,4,Marsabit,2.2705,38.916,,,
7/22/2017 4:47,1.6,12,4,Machakos,-1.0515,37.5187,,,
7/22/2017 2:46,1.5,11,4,Machakos,-1.0704,37.5033,,,
7/20/2017 3:45,1.9,1,4,Kitui,-0.8667,37.966,,,
7/19/2017 1:46,2.3,11,4,Kitui,-1.0809,38.4144,,,
7/19/2017 0:37,1.9,11,4,Machakos,-1.4135,37.2826,,,
7/13/2017 1:49,2.8,10,4,Turkana,2.2231,35.8759,,,
7/12/2017 1:24,1.8,4,4,Kitui,-0.5474,38.0248,,,
7/11/2017 17:21,2.2,10,4,Kitui,-0.4802,37.9973,,,
7/11/2017 3:18,4.8,16,4,Narok,-1.7208,35.7688,,,
7/9/2017 11:34,3.4,10,4,Marsabit,3.1645,36.4275,,,
7/9/2017 5:32,2.1,11,4,Turkana,2.456,35.8759,,,
7/8/2017 10:42,4.6,10,4,Narok,-1.6982,35.753,,,
7/6/2017 3:28,2.2,12,4,Turkana,2.2023,35.7654,,,
7/2/2017 17:19,2,10,4,Turkana,2.673,36.1234,,,
7/2/2017 10:01,1.5,7,4,Turkana,3.5209,36.0917,,,
6/30/2017 17:55,3.4,10,4,Samburu,2.2453,36.6038,,,
6/28/2017 9:18,1.7,10,4,Turkana,3.074,35.0128,,,
6/27/2017 7:26,1.8,10,4,Turkana,3.612,37.8878,,,
6/27/2017 5:41,3.8,10,4,Turkana,3.6757,36.5192,,,
6/23/2017 3:52,2,25,4,Isiolo,0.5191,38.1381,,,
6/13/2017 21:29,3.1,11,4,Narok,-0.7555,35.8451,,,
6/10/2017 10:33,1.6,10,4,Kitui,-1.4916,37.9123,,,
6/8/2017 13:40,3.4,1,4,Marsabit,3.0131,36.3694,,,
