COUNTY,freq,county_x,county_y
Baringo,6,0.66925198,35.94646535
Bungoma,1,0.74928524,34.64046088
Keiyo-Marakwet,4,0.802218811,35.53656315
Kakamega,1,0.403683464,34.74451115
Kericho,1,-0.295732906,35.31407001
Kiambu,1,-1.068706066,36.82356426
Kirinyaga,2,-0.524746296,37.31986811
Kisii,2,-0.774603757,34.77472298
Laikipia,1,0.323604123,36.77172786
Makueni,1,-2.1576841,37.78824557
Meru,2,0.166779241,37.76403705
Murang'a,8,-0.809590536,37.03272252
Nandi,1,0.186688887,35.11048767
Nyandarua,1,-0.322077822,36.48286916
Nyeri,2,-0.342923589,36.95647813
Taita Taveta,1,-3.434733994,38.418602
West Pokot,4,1.740106171,35.24384681
